Team,Races,AvgGrid,AvgFinish,TotalPoints,Wins,Podiums,WinPercentage,PodiumPercentage
Alfa Romeo,88,13.33,13.6,69.0,0,0,0.0,0.0
Alfa Romeo Racing,44,13.25,13.2,13.0,0,0,0.0,0.0
AlphaTauri,132,11.62,12.8,199.0,0,1,0.0,0.76
Alpine,228,12.07,12.09,518.0,1,6,0.44,2.63
Aston Martin,227,11.78,11.45,572.0,0,9,0.0,3.96
Ferrari,228,6.0,6.87,2159.5,10,63,4.39,27.63
Haas F1 Team,228,14.44,14.13,166.0,0,0,0.0,0.0
Kick Sauber,96,15.39,14.59,74.0,0,1,0.0,1.04
McLaren,228,6.72,7.26,2074.0,21,70,9.21,30.7
Mercedes,228,6.11,6.44,2330.5,16,74,7.02,32.46
RB,48,12.1,13.29,40.0,0,0,0.0,0.0
Racing Bulls,48,10.56,12.31,88.0,0,1,0.0,2.08
Red Bull Racing,228,5.88,5.78,3039.5,66,114,28.95,50.0
Williams,227,14.28,14.07,198.0,0,3,0.0,1.32
