Driver,Races,AvgGrid,AvgFinish,TotalPoints,Podiums,Wins,AvgPositionsGained,WinPercentage,PodiumPercentage,PerformanceScore,ExpectedFinish,PodiumProbability,WinProbability
Max Verstappen,24,3.5833333333333335,3.6666666666666665,389.0,15.0,8.0,-0.08333333333333333,33.33,62.5,278.09,1.0,72.2,51.8
Lando Norris,24,2.9583333333333335,4.25,394.0,18.0,7.0,-1.2916666666666667,29.17,75.0,271.77,1.3,80.6,48.5
Oscar Piastri,24,3.0,4.208333333333333,381.0,16.0,7.0,-1.2083333333333333,29.17,66.67,257.62,2.1,73.5,47.3
George Russell,24,4.375,4.541666666666667,289.0,9.0,2.0,-0.16666666666666666,8.33,37.5,152.89,7.5,45.0,24.6
Charles Leclerc,24,5.416666666666667,6.75,225.0,7.0,0.0,-1.3333333333333333,0.0,29.17,77.92,11.3,33.5,13.0
Lewis Hamilton,24,9.375,8.5,135.0,0.0,0.0,0.875,0.0,0.0,20.25,14.3,8.5,8.5
Kimi Antonelli,24,8.75,9.833333333333334,135.0,3.0,0.0,-1.0833333333333333,0.0,12.5,9.0,14.9,16.4,7.6
Alexander Albon,24,12.75,11.041666666666666,70.0,0.0,0.0,1.7083333333333333,0.0,0.0,-10.12,15.9,6.1,6.1
Oliver Bearman,24,14.208333333333334,11.791666666666666,39.0,0.0,0.0,2.4166666666666665,0.0,0.0,-19.19,16.3,5.6,5.6
Nico Hulkenberg,24,14.708333333333334,12.791666666666666,51.0,1.0,0.0,1.9166666666666667,0.0,4.17,-19.39,16.4,8.3,5.4
Esteban Ocon,24,15.0,12.5,34.0,0.0,0.0,2.5,0.0,0.0,-23.9,16.6,5.1,5.1
Lance Stroll,23,15.652173913043478,13.695652173913043,29.0,0.0,0.0,1.9565217391304348,0.0,0.0,-37.31,17.3,4.0,4.0
Carlos Sainz,24,11.166666666666666,12.166666666666666,54.0,2.0,0.0,-1.0,0.0,8.33,-39.24,17.4,9.7,3.9
Yuki Tsunoda,24,12.75,12.583333333333334,21.0,0.0,0.0,0.16666666666666666,0.0,0.0,-52.85,18.1,2.8,2.8
Liam Lawson,24,12.333333333333334,12.791666666666666,38.0,0.0,0.0,-0.4583333333333333,0.0,0.0,-53.34,18.1,2.8,2.8
Isack Hadjar,24,9.791666666666666,11.791666666666666,50.0,1.0,0.0,-2.0,0.0,4.17,-53.95,18.1,5.8,2.8
Fernando Alonso,24,10.208333333333334,11.875,51.0,0.0,0.0,-1.6666666666666667,0.0,0.0,-55.64,18.2,2.7,2.7
Gabriel Bortoleto,24,14.208333333333334,14.25,19.0,0.0,0.0,-0.041666666666666664,0.0,0.0,-64.07,18.7,2.0,2.0
Franco Colapinto,18,16.444444444444443,16.055555555555557,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,-76.39,19.3,1.0,1.0
Pierre Gasly,24,13.375,14.583333333333334,20.0,0.0,0.0,-1.2083333333333333,0.0,0.0,-77.0,19.3,1.0,1.0
Jack Doohan,6,15.5,16.333333333333332,0.0,0.0,0.0,-0.8333333333333334,0.0,0.0,-90.0,20.0,0.0,0.0
